Count,RetMax,RetStart,IdList,TranslationSet,TranslationStack,QueryTranslation,ErrorList,WarningList,name
1,1,0,['1280'],[],"[{'Term': 'staphylococcus aureus[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",staphylococcus aureus[All Names],,,Staphylococcus aureus
1,1,0,['1313'],[],"[{'Term': 'streptococcus pneumoniae[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",streptococcus pneumoniae[All Names],,,Streptococcus pneumoniae
1,1,0,['1314'],[],"[{'Term': 'streptococcus pyogenes[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",streptococcus pyogenes[All Names],,,Streptococcus pyogenes
1,1,0,['562'],[],"[{'Term': 'escherichia coli[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",escherichia coli[All Names],,,Escherichia coli
2,2,0,"['210425', '583']",[],"[{'Term': 'Proteus[All Names]', 'Field': 'All Names', 'Count': '2', 'Explode': 'N'}, 'GROUP']",Proteus[All Names],,,Proteus
1,1,0,['590'],[],"[{'Term': 'Salmonella[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Salmonella[All Names],,,Salmonella
1,1,0,['570'],[],"[{'Term': 'Klebsiella[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Klebsiella[All Names],,,Klebsiella
1,1,0,['286'],[],"[{'Term': 'Pseudomonas[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Pseudomonas[All Names],,,Pseudomonas
2,2,0,"['2985502', '613']",[],"[{'Term': 'Serratia[All Names]', 'Field': 'All Names', 'Count': '2', 'Explode': 'N'}, 'GROUP']",Serratia[All Names],,,Serratia
1,1,0,['547'],[],"[{'Term': 'Enterobacter[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Enterobacter[All Names],,,Enterobacter
1,1,0,['507'],[],"[{'Term': 'Alcaligenes[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Alcaligenes[All Names],,,Alcaligenes
1,1,0,['33053'],[],"[{'Term': 'Neisseria perflava[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Neisseria perflava[All Names],,,Neisseria perflava
1,1,0,['1279'],[],"[{'Term': 'Staphylococcus[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Staphylococcus[All Names],,,Staphylococcus
2,2,0,"['55087', '1386']",[],"[{'Term': 'Bacillus[All Names]', 'Field': 'All Names', 'Count': '2', 'Explode': 'N'}, 'GROUP']",Bacillus[All Names],,,Bacillus
1,1,0,['1301'],[],"[{'Term': 'Streptococcus[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Streptococcus[All Names],,,Streptococcus
1,1,0,['1266'],[],"[{'Term': 'Sarcina[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Sarcina[All Names],,,Sarcina
1,1,0,['573'],[],"[{'Term': 'klebsiella pneumoniae[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",klebsiella pneumoniae[All Names],,,Klebsiella pneumoniae
1,1,0,['90371'],[],"[{'Term': 'Salmonella enterica subsp. enterica serovar Typhimurium[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",Salmonella enterica subsp. enterica serovar Typhimurium[All Names],,,Salmonella enterica subsp. enterica serovar Typhimurium
1,1,0,['550'],[],"[{'Term': 'enterobacter cloacae[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",enterobacter cloacae[All Names],,,Enterobacter cloacae
1,1,0,['727'],[],"[{'Term': 'haemophilus influenzae[All Names]', 'Field': 'All Names', 'Count': '1', 'Explode': 'N'}, 'GROUP']",haemophilus influenzae[All Names],,,Haemophilus influenzae
