IdList,name,Kingdom
1280,Staphylococcus aureus,Bacteria
1313,Streptococcus pneumoniae,Bacteria
1314,Streptococcus pyogenes,Bacteria
562,Escherichia coli,Bacteria
583,Proteus,Bacteria
590,Salmonella,Bacteria
570,Klebsiella,Bacteria
286,Pseudomonas,Bacteria
613,Serratia,Bacteria
547,Enterobacter,Bacteria
507,Alcaligenes,Bacteria
33053,Neisseria perflava,Bacteria
1279,Staphylococcus,Bacteria
1386,Bacillus,Bacteria
1301,Streptococcus,Bacteria
1266,Sarcina,Bacteria
573,Klebsiella pneumoniae,Bacteria
90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria
550,Enterobacter cloacae,Bacteria
727,Haemophilus influenzae,Bacteria
67828,Citrobacter gillenii,Bacteria
79880,Shouchella clausii,Bacteria
79880,Bacillus clausii,Bacteria
648,Aeromonas caviae,Bacteria
546,Citrobacter freundii,Bacteria
543,Enterobacteriaceae,Bacteria
36470,Streptococcus sp. 'group A',Bacteria
1319,Streptococcus sp. 'group B',Bacteria
78535,Streptococcus viridans,Bacteria
480,Moraxella catarrhalis,Bacteria
584,Proteus mirabilis,Bacteria
171101,Streptococcus pneumoniae R6,Bacteria
10116,Rattus norvegicus,
470,Acinetobacter baumannii,Bacteria
47886,Pseudomonas luteola,Bacteria
287,Pseudomonas aeruginosa,Bacteria
28901,Salmonella enterica,Bacteria
294,Pseudomonas fluorescens,Bacteria
588,Providencia stuartii,Bacteria
43767,Prescottella equi,Bacteria
1639,Listeria monocytogenes,Bacteria
43765,Corynebacterium amycolatum,Bacteria
38289,Corynebacterium jeikeium,Bacteria
37637,Corynebacterium pseudodiphtheriticum,Bacteria
43770,Corynebacterium striatum,Bacteria
43771,Corynebacterium urealyticum,Bacteria
52584,Brachyspira pilosicoli,Bacteria
40324,Stenotrophomonas maltophilia,Bacteria
38301,Corynebacterium minutissimum,Bacteria
1725,Corynebacterium xerosis,Bacteria
29471,Pectobacterium atrosepticum,Bacteria
238,Elizabethkingia meningoseptica,Bacteria
464,Fluoribacter gormanii,Bacteria
155892,Caulobacter vibrioides,Bacteria
29581,Janthinobacterium lividum,Bacteria
76860,Streptococcus constellatus,Bacteria
1303,Streptococcus oralis,Bacteria
1338,Streptococcus intermedius,Bacteria
28037,Streptococcus mitis,Bacteria
1311,Streptococcus agalactiae,Bacteria
